/home/eduardburlacu/miniconda3/bin/conda run -n fedprox --no-capture-output python /home/eduardburlacu/Inference/code.py 
+---------------------------------------------------+
|             train/test log likelihood             |
+-------+---------------------+---------------------+
| # it. |      train loss     |      test loss      |
|   28  | -0.7380159392309308  |  -0.754912349119095  |
|   29  |  -0.721657694654885  |  -0.736446097523986  |
|   30  | -0.7062167299588255  |  -0.71902980225749   |
|   31  | -0.6916268676199689  |  -0.702588711160457  |
|   32  | -0.6778280444237454  | -0.6870554171265553  |
|   33  | -0.6647656797876408  | -0.6723689049451714  |
|   34  | -0.6523901228372749  | -0.6584737681698382  |
|   35  | -0.6406561517820489  | -0.6453195493092534  |
|   36  | -0.6295225147198029  | -0.6328601725645794  |
|   37  | -0.6189515087160333  | -0.6210534490815397  |
|   38  | -0.6089085968706843  | -0.6098606415876067  |
|   39  | -0.5993620633742335  | -0.5992460795552066  |
|   40  | -0.5902827057653333  | -0.5891768186099723  |
|   41  | -0.5816435625991019  | -0.5796223394413655  |
|   42  | -0.5734196739304841  | -0.5705542823884169  |
|   43  | -0.5655878715421232  | -0.5619462144168357  |
|   44  | -0.5581265956826282  | -0.5537734255234578  |
|   45  | -0.5510157351501559  | -0.5460127517895949  |
|   46  | -0.5442364877694359  | -0.5386424224154573  |
|   47  | -0.5377712385937717  | -0.5316419281451651  |
|   48  | -0.5316034534659199  | -0.5249919085661481  |
|   49  | -0.5257175858622692  | -0.5186740558583716  |
|   50  | -0.5200989952088968  |  -0.512671032689068  |
|   51  | -0.5147338750913804  | -0.5069664021010268  |
|   52  | -0.5096091899840364  | -0.5015445674240532  |
|   53  | -0.5047126193022525  | -0.4963907204428813  |
|   54  | -0.5000325077379544  | -0.49149079627125175 |
|   55  | -0.49555782097660556 | -0.4868314336012932  |
|   56  | -0.49127810601725413 | -0.4823999392108017  |
|   57  | -0.4871834554269705  | -0.4781842558112323  |
|   58  | -0.4832644749587663  | -0.47417293250094444 |
|   59  | -0.4795122540487567  | -0.4703550972482829  |
|   60  | -0.4759183387844933  | -0.4667204309660369  |
|   61  | -0.4724747070027444  | -0.46325914285288206 |
|   62  | -0.4691737452321694  | -0.45996194676983504 |
|   63  | -0.4660082272450277  | -0.4568200384925165  |
|   64  | -0.4629712940230685  | -0.45382507373566283 |
|   65  | -0.4600564349768973  | -0.4509691468873331  |
|   66  | -0.4572574702862254  | -0.4482447704193464  |
|   67  | -0.4545685342513343  | -0.4456448549599029  |
|   68  | -0.4519840595646022  | -0.4431626900263699  |
|   69  |  -0.44949876242577   | -0.4407919254226321  |
|   70  | -0.4471076284364272  | -0.43852655330777013 |
|   71  | -0.44480589921854913 | -0.43636089094243147 |
|   72  | -0.4425890597093126  | -0.4342895641170511  |
|   73  | -0.44045282609024644 | -0.4323074912628509  |
|   74  | -0.4383931343134249  | -0.43040986824282707 |
|   75  | -0.4364061291911084  | -0.4285921538161699  |
|   76  | -0.43448815401823976 | -0.4268500557659628  |
|   77  | -0.4326357406996684  | -0.42517951767679063 |
|   78  | -0.4308456003560336  | -0.4235767063461315  |
|   79  |  -0.429114614383993  | -0.4220379998111315  |
|   80  | -0.4274398259480274  | -0.4205599759706008  |
|   81  | -0.4258184318823936  | -0.41913940178076037 |
|   82  | -0.42424777498304467 | -0.41777322300239916 |
|   83  |  -0.42272533667045   | -0.4164585544765947  |
|   84  | -0.42124873000529683 | -0.41519267090597806 |
|   85  | -0.4198156930400211  | -0.41397299811860755 |
|   86  | -0.41842408249003327 | -0.41279710479183074 |
|   87  | -0.41707186770935567 | -0.4116626946139847  |
|   88  | -0.4157571249561984  |  -0.410567598862406  |
|   89  | -0.41447803193476196 | -0.4095097693769253  |
|   90  | -0.4132328626002685  | -0.4084872719087983  |
|   91  | -0.41201998221489516 | -0.40749827982584635 |
|   92  | -0.4108378426429251  | -0.40654106815541596 |
|   93  | -0.4096849778740128  | -0.40561400794761754 |
|   94  | -0.40855999976403234 | -0.4047155609421395  |
|   95  | -0.40746159398348686 | -0.4038442745227645  |
|   96  | -0.40638851616396005 | -0.4029987769445057  |
|   97  | -0.40533958823353716 | -0.4021777728190662  |
|   98  | -0.4043136949325655  | -0.40138003884505347 |
|   99  | -0.4033097805015192  | -0.40060441977009587 |
|  100  | -0.4023268455331132  | -0.3998498245726815  |
|  101  | -0.4013639439811746  | -0.3991152228521747  |
|  102  | -0.40042018031910126 | -0.39839964141607487 |
|  103  | -0.3994947068410667  | -0.3977021610541495  |
|  104  | -0.3985867210994181  | -0.39702191348962157 |
|  105  | -0.3976954634720012  | -0.3963580784980924  |
|  106  | -0.3968202148534108  | -0.3957098811853724  |
|  107  | -0.3959602944644207  | -0.3950765894158359  |
|  108  | -0.39511505777408656 | -0.3944575113833615  |
|  109  | -0.3942838945292449  | -0.3938519933173085  |
|  110  | -0.39346622688635535 | -0.39325941731637637 |
|  111  | -0.3926615076408348  | -0.39267919930354994 |
|  112  | -0.3918692185492452  | -0.3921107870956854  |
|  113  | -0.39108886873987936 | -0.39155365858160585 |
|  114  | -0.39031999320748156 | -0.39100732000289523 |
|  115  | -0.3895621513880171  | -0.3904713043318722  |
|  116  | -0.3888149258095743  | -0.38994516974149207 |
|  117  | -0.3880779208156531  | -0.3894284981622084  |
|  118  | -0.3873507613572526  | -0.38892089392106255 |
|  119  | -0.3866330918503199  | -0.3884219824585156  |
|  120  | -0.3859245750952801  | -0.3879314091187649  |
|  121  | -0.3852248912555044  | -0.3874488380095053  |
|  122  | -0.3845337368917129  | -0.38697395092729736 |
|  123  |  -0.383850824049446  | -0.3865064463449102  |
|  124  | -0.38317587939686504 | -0.38604603845718394 |
|  125  | -0.38250864341026586 | -0.38559245628214683 |
|  126  | -0.3818488696048126  | -0.38514544281428315 |
|  127  | -0.3811963238081137  | -0.38470475422701644 |
|  128  | -0.3805507834743708  | -0.38427015912162493 |
|  129  | -0.37991203703694365 | -0.3838414378199527  |
|  130  | -0.37927988329727264 | -0.38341838169842274 |
|  131  | -0.37865413084820304 | -0.3830007925609895  |
|  132  | -0.37803459752984864 | -0.3825884820487988  |
|  133  | -0.3774211099162259  | -0.3821812710844388  |
|  134  | -0.3768135028309748  | -0.3817789893487864  |
|  135  | -0.37621161889057136 | -0.38138147478855733 |
|  136  | -0.37561530807351196 | -0.3809885731527805  |
|  137  | -0.3750244273140318  | -0.38060013755650457 |
|  138  | -0.3744388401189916  | -0.38021602807014815 |
|  139  | -0.37385841620663746 | -0.3798361113329915  |
|  140  | -0.3732830311660072  | -0.3794602601893854  |
|  141  | -0.3727125661358199  | -0.37908835334634844 |
|  142  | -0.37214690750174767 | -0.37872027505128014 |
|  143  | -0.3715859466110304  | -0.37835591478860664 |
|  144  | -0.37102957950344106 | -0.37799516699423286 |
|  145  | -0.3704777066576764  | -0.3776379307867465  |
|  146  | -0.36993023275228326 | -0.37728410971437465 |
|  147  | -0.3693870664402949  | -0.3769336115167546  |
|  148  | -0.3688481201367803  | -0.3765863479006382  |
|  149  | -0.36831330981857063 | -0.3762422343286924  |
|  150  | -0.3677825548354549  | -0.37590118982061654 |
|  151  | -0.36725577773218104 | -0.37556313676583725 |
|  152  | -0.36673290408064135 | -0.3752280007470858  |
|  153  | -0.36621386232164327 |  -0.374895710374211  |
|  154  | -0.36569858361571583 | -0.37456619712760286 |
|  155  | -0.3651870017024206  | -0.3742393952106642  |
|  156  |  -0.364679052767674  | -0.37391524141077226 |
|  157  | -0.3641746753186135  | -0.3735936749682338  |
|  158  | -0.3636738100655657  | -0.37327463745274153 |
|  159  | -0.36317639981070343 | -0.3729580726468913  |
|  160  | -0.3626823893430003  | -0.3726439264363316  |
|  161  | -0.3621917253391115  | -0.3723321467061452  |
|  162  | -0.36170435626984054 | -0.3720226832430958  |
|  163  | -0.36122023231185835 | -0.37171548764338014 |
|  164  | -0.3607393052643711  | -0.37141051322556246 |
|  165  |  -0.360261528470446  | -0.3711077149483787  |
|  166  |  -0.359786856742726  | -0.37080704933311764 |
|  167  | -0.3593152462932683  | -0.3705084743903077  |
|  168  | -0.3588466546672771  | -0.37021194955045517 |
|  169  | -0.35838104068049437 | -0.36991743559858575 |
|  170  | -0.3579183643600385  | -0.36962489461237097 |
|  171  | -0.35745858688848997 | -0.3693342899036223  |
|  172  | -0.3570016705510342  | -0.36904558596295317 |
|  173  | -0.3565475786854843  | -0.36875874840742684 |
|  174  | -0.35609627563501656 | -0.36847374393100524 |
|  175  | -0.3556477267034592  | -0.3681905402576451  |
|  176  | -0.35520189811298986 | -0.36790910609687427 |
|  177  | -0.3547587569640997  | -0.3676294111017142  |
|  178  | -0.3543182711976945  | -0.3673514258288009  |
|  179  | -0.3538804095592094  | -0.36707512170058637 |
|  180  | -0.3534451415646206  | -0.36680047096949125 |
|  181  | -0.3530124374682469  | -0.36652744668390397 |
|  182  | -0.35258226823223693 | -0.36625602265591084 |
|  183  | -0.35215460549764566 | -0.3659861734306651  |
|  184  | -0.35172942155701065 | -0.3657178742572977  |
|  185  | -0.35130668932834247 | -0.36545110106128265 |
|  186  | -0.3508863823304484  | -0.3651858304181724  |
|  187  | -0.35046847465951325 | -0.3649220395286295  |
|  188  | -0.35005294096686945 | -0.36465970619467697 |
|  189  | -0.34963975643788514 | -0.36439880879710257 |
|  190  |  -0.349228896771912  | -0.3641393262739499  |
|  191  | -0.34882033816322905 | -0.36388123810003725 |
|  192  | -0.34841405728293084 | -0.36362452426744724 |
|  193  | -0.34801003126170443 |  -0.363369165266932  |
|  194  | -0.3476082376734485  |  -0.363115142070186  |
|  195  | -0.34720865451968635 | -0.3628624361129384  |
|  196  | -0.3468112602147287  | -0.3626110292788176  |
|  197  | -0.34641603357154777 | -0.36236090388395115 |
|  198  | -0.3460229537883209  | -0.36211204266225927 |
|  199  | -0.3456320004356087  | -0.36186442875140024 |
|  200  |  -0.345243153444133  | -0.3616180456793439  |
|  201  | -0.3448563930931233  | -0.36137287735152723 |
|  202  | -0.34447169999919836 | -0.3611289080385724  |
|  203  | -0.34408905510575727 | -0.36088612236452855 |
|  204  | -0.34370843967285175 | -0.36064450529562037 |
|  205  | -0.3433298352675132  | -0.3604040421294662  |
|  206  | -0.3429532237545114  | -0.36016471848475023 |
|  207  | -0.34257858728752283 | -0.35992652029132066 |
|  208  | -0.3422059083006848  | -0.3596894337806965  |
|  209  | -0.3418351695005185  | -0.3594534454769569  |
|  210  | -0.34146635385819807 | -0.3592185421879995  |
|  211  | -0.34109944460215175 | -0.35898471099714496 |
|  212  | -0.34073442521097463 |  -0.358751939255076  |
|  213  | -0.3403712794066394  | -0.35852021457208566 |
|  214  | -0.34000999114798885 | -0.35828952481063253 |
|  215  | -0.3396505446244952  | -0.3580598580781751  |
|  216  | -0.3392929242502756  | -0.35783120272028013 |
|  217  | -0.33893711465834664 |  -0.357603547313991  |
|  218  | -0.33858310069511033 | -0.3573768806614403  |
|  219  |  -0.338230867415057  | -0.35715119178369753 |
|  220  | -0.3378804000756757  | -0.3569264699148435  |
|  221  | -0.3375316841325622  | -0.3567027044962564  |
|  222  | -0.33718470523471344 | -0.3564798851711006  |
|  223  | -0.3368394492200021  | -0.35625800177901473 |
|  224  | -0.33649590211081915 | -0.3560370443509814  |
|  225  | -0.3361540501098795  | -0.35581700310437603 |
|  226  | -0.33581387959618064 | -0.3555978684381874  |
|  227  | -0.3354753771211091  | -0.3553796309283996  |
|  228  | -0.33513852940468575 | -0.3551622813235265  |
|  229  | -0.3348033233319447  |  -0.354945810540301  |
|  230  | -0.3344697459494391  | -0.35473020965950125 |
|  231  | -0.33413778446186926 | -0.3545154699219167  |
|  232  | -0.33380742622882414 | -0.3543015827244415  |
|  233  | -0.33347865876163624 | -0.3540885396162978  |
|  234  | -0.3331514697203391  | -0.35387633229537485 |
|  235  | -0.3328258469107275  | -0.35366495260468445 |
|  236  | -0.33250177828151223 | -0.35345439252892935 |
|  237  | -0.3321792519215682  | -0.35324464419117346 |
|  238  | -0.33185825605727004 | -0.3530356998496182  |
|  239  | -0.33153877904991064 | -0.3528275518944731  |
|  240  | -0.3312208093932016  | -0.3526201928449232  |
|  241  | -0.33090433571084943 | -0.3524136153461852  |
|  242  | -0.33058934675420704 | -0.3522078121666501  |
|  243  | -0.33027583139999306 | -0.35200277619511167 |
|  244  | -0.3299637786480815  | -0.35179850043807454 |
|  245  | -0.3296531776193545  | -0.3515949780171367  |
|  246  | -0.3293440175536173  |  -0.351392202166451  |
|  247  | -0.3290362878075739  | -0.3511901662302563  |
|  248  | -0.3287299778528571  | -0.3509888636604782  |
|  249  | -0.3284250772741174  |  -0.350788288014396  |
|  250  | -0.32812157576716033 | -0.35058843295237424 |
|  251  | -0.3278194631371367  | -0.35038929223565773 |
|  252  | -0.3275187292967808  | -0.35019085972422426 |
|  253  | -0.32721936426469483 | -0.3499931293746961  |
|  254  | -0.32692135816367857 | -0.3497960952383079  |
|  255  | -0.3266247012191019  | -0.34959975145892774 |
|  256  | -0.32632938375731885 | -0.34940409227112973 |
|  257  | -0.3260353962041208  | -0.34920911199831894 |
|  258  | -0.32574272908322954 | -0.34901480505090204 |
|  259  | -0.3254513730148256  | -0.3488211659245091  |
|  260  | -0.32516131871411397 | -0.34862818919825594 |
|  261  | -0.32487255698992157 | -0.34843586953305405 |
|  262  | -0.32458507874333065 | -0.3482442016699625  |
|  263  | -0.3242988749663421  | -0.34805318042857974 |
|  264  | -0.32401393674056966 | -0.3478628007054775  |
|  265  | -0.32373025523596555 | -0.34767305747267085 |
|  266  | -0.3234478217095716  | -0.3474839457761281  |
|  267  | -0.3231666275043017  |  -0.347295460734315  |
|  268  | -0.32288666404774774 | -0.34710759753677634 |
|  269  | -0.3226079228510132  | -0.3469203514427499  |
|  270  | -0.32233039550757114 | -0.3467337177798133  |
|  271  | -0.32205407369214645 | -0.3465476919425652  |
|  272  | -0.3217789491596216  | -0.3463622693913358  |
|  273  | -0.3215050137439641  | -0.34617744565092734 |
|  274  |  -0.321232259357177  | -0.34599321630938573 |
|  275  | -0.32096067798826966 | -0.34580957701679904 |
|  276  | -0.3206902617022502  | -0.34562652348412437 |
|  277  | -0.32042100263913553 | -0.34544405148204194 |
|  278  | -0.32015289301298366 | -0.3452621568398331  |
|  279  | -0.3198859251109419  | -0.3450808354442897  |
|  280  | -0.31962009129231544 | -0.34490008323863874 |
|  281  | -0.3193553839876516  | -0.3447198962215014  |
|  282  | -0.31909179569784285 | -0.34454027044586594 |
|  283  | -0.3188293189932445  | -0.3443612020180909  |
|  284  | -0.31856794651281084 | -0.3441826870969261  |
|  285  | -0.31830767096324464 | -0.3440047218925553  |
|  286  | -0.3180484851181633  | -0.3438273026656629  |
|  287  | -0.3177903818172792  | -0.34365042572651666 |
|  288  | -0.3175333539655941  | -0.34347408743407326 |
|  289  |  -0.317277394532609  | -0.3432982841951035  |
|  290  | -0.3170224965515454  | -0.34312301246333293 |
|  291  | -0.31676865311858166 | -0.34294826873860457 |
|  292  |  -0.316515857392101  | -0.34277404956605734 |
|  293  | -0.31626410259195326 | -0.3426003515353233  |
|  294  | -0.3160133819987278  | -0.34242717127973904 |
|  295  | -0.3157636889530385  | -0.3422545054755774  |
|  296  | -0.3155150168548213  | -0.3420823508412927  |
|  297  | -0.31526735916264204 | -0.3419107041367827  |
|  298  | -0.31502070939301574 | -0.3417395621626643  |
|  299  | -0.31477506111973697 | -0.34156892175956705 |
|  300  | -0.3145304079732199  | -0.34139877980743905 |
|  301  | -0.3142867436398499  |  -0.341229133224867  |
|  302  | -0.31404406186134365 | -0.3410599789684116  |
|  303  | -0.31380235643412113 | -0.34089131403195483 |
|  304  | -0.31356162120868436 | -0.3407231354460611  |
|  305  | -0.3133218500890087  | -0.34055544027735296 |
|  306  | -0.31308303703194046 | -0.3403882256278956  |
|  307  | -0.31284517604660544 | -0.34022148863459756 |
|  308  | -0.3126082611938255  | -0.3400552264686204  |
|  309  | -0.3123722865855432  | -0.3398894363348029  |
|  310  | -0.31213724638425566 | -0.33972411547109355 |
|  311  | -0.31190313480245657 | -0.33955926114799717 |
|  312  | -0.3116699461020859  | -0.33939487066803103 |
|  313  | -0.31143767459398664 | -0.3392309413651914  |
|  314  | -0.31120631463737125 | -0.3390674706044298  |
|  315  | -0.3109758606392945  | -0.33890445578114337 |
|  316  |  -0.310746307054133  | -0.3387418943206704  |
|  317  | -0.31051764838307344 | -0.3385797836777967  |
|  318  | -0.3102898791736068  | -0.3384181213362751  |
|  319  | -0.3100629940190304  | -0.3382569048083495  |
|  320  | -0.3098369875579559  | -0.33809613163428975 |
|  321  |  -0.309611854473825  | -0.33793579938193785 |
|  322  | -0.3093875894944307  | -0.33777590564625876 |
|  323  | -0.3091641873914453  | -0.33761644804890184 |
|  324  | -0.30894164297995597 | -0.3374574242377719  |
|  325  | -0.3087199511180042  | -0.3372988318866053  |
|  326  | -0.3084991067061335  | -0.3371406686945566  |
|  327  | -0.3082791046869416  | -0.33698293238579197 |
|  328  | -0.30805994004463993 | -0.33682562070909045 |
|  329  | -0.30784160780461717 | -0.3366687314374514  |
|  330  | -0.3076241030330102  | -0.3365122623677132  |
|  331  | -0.3074074208362795  | -0.3363562113201728  |
|  332  | -0.30719155636078993 | -0.3362005761382183  |
|  333  | -0.3069765047923985  | -0.33604535468796554 |
|  334  |  -0.306762261356045  | -0.3358905448579008  |
|  335  | -0.3065488213153499  | -0.3357361445585319  |
|  336  | -0.3063361799722163  |  -0.335582151722045  |
|  337  | -0.30612433266643685 |  -0.335428564301966  |
|  338  | -0.3059132747753069  | -0.33527538027283216 |
|  339  | -0.3057030017132407  | -0.33512259762986574 |
|  340  | -0.30549350893139343 | -0.33497021438865404 |
|  341  | -0.30528479191728813 | -0.3348182285848394  |
|  342  | -0.30507684619444625 | -0.33466663827380877 |
|  343  | -0.3048696673220243  | -0.3345154415303936  |
|  344  | -0.30466325089445356 | -0.33436463644857284 |
|  345  | -0.30445759254108473 | -0.3342142211411816  |
|  346  | -0.3042526879258371  | -0.3340641937396262  |
|  347  |  -0.304048532746852  | -0.3339145523936024  |
|  348  | -0.3038451227361502  | -0.3337652952708203  |
|  349  | -0.30364245365929377 | -0.3336164205567343  |
|  350  | -0.30344052131505156 | -0.33346792645427553 |
|  351  | -0.30323932153506883 | -0.33331981118359166 |
|  352  | -0.3030388501835426  | -0.3331720729817907  |
|  353  | -0.30283910315689666 | -0.3330247101026887  |
|  354  | -0.30264007638346585 | -0.33287772081656075 |
|  355  | -0.30244176582317933 | -0.3327311034099008  |
|  356  | -0.30224416746725113 | -0.3325848561851796  |
|  357  | -0.30204727733787196 | -0.33243897746061274 |
|  358  | -0.3018510914879061  | -0.3322934655699278  |
|  359  | -0.3016556060005913  | -0.3321483188621394  |
|  360  | -0.3014608169892418  | -0.3320035357013256  |
|  361  | -0.3012667205969566  | -0.3318591144664098  |
|  362  | -0.30107331299632845 | -0.3317150535509463  |
|  363  | -0.30088059038915843 | -0.3315713513629076  |
|  364  | -0.3006885490061726  | -0.33142800632447844 |
|  365  | -0.30049718510674356 | -0.3312850168718512  |
|  366  | -0.3003064949786124  | -0.33114238145502556 |
|  367  | -0.30011647493761684 | -0.33100009853761164 |
|  368  | -0.29992712132742094 | -0.3308581665966371  |
|  369  | -0.29973843051924776 | -0.3307165841223558  |
|  370  | -0.2995503989116162  | -0.33057534961806195 |
|  371  | -0.29936302293007966 | -0.33043446159990525 |
|  372  | -0.2991762990269688  | -0.33029391859671153 |
|  373  | -0.29899022368113587 | -0.3301537191498047  |
|  374  | -0.29880479339770366 | -0.3300138618128318  |
|  375  | -0.2986200047078158  | -0.3298743451515924  |
|  376  | -0.2984358541683904  | -0.32973516774386996 |
|  377  | -0.29825233836187687 | -0.3295963281792648  |
|  378  | -0.2980694538960153  | -0.32945782505903265 |
|  379  | -0.2978871974035979  | -0.3293196569959241  |
|  380  | -0.29770556554223426 | -0.3291818226140268  |
|  381  | -0.2975245549941181  | -0.3290443205486109  |
|  382  | -0.29734416246579753 | -0.32890714944597704 |
|  383  | -0.29716438468794715 | -0.3287703079633053  |
|  384  | -0.29698521841514386 | -0.3286337947685113  |
|  385  | -0.29680666042564335 | -0.3284976085400976  |
|  386  | -0.29662870752116055 | -0.32836174796701323 |
|  387  | -0.29645135652665255 | -0.32822621174851585 |
|  388  | -0.2962746042901027  | -0.32809099859403007 |
|  389  | -0.2960984476823082  | -0.3279561072230149  |
|  390  | -0.29592288359666946 | -0.32782153636483075 |
|  391  | -0.29574790894898234 |  -0.327687284758607  |
|  392  | -0.29557352067723225 | -0.32755335115311524 |
|  393  | -0.29539971574139023 | -0.3274197343066409  |
|  394  | -0.2952264911232122  | -0.32728643298686044 |
|  395  | -0.29505384382603933 | -0.3271534459707182  |
|  396  | -0.2948817708746014  | -0.3270207720443057  |
|  397  | -0.2947102693148221  | -0.32688841000274343 |
|  398  | -0.29453933621362594 | -0.3267563586500654  |
|  399  | -0.2943689686587483  | -0.32662461679910293 |
|  400  | -0.2941991637585463  |  -0.326493183271373  |
|  401  | -0.29402991864181255 | -0.3263620568969669  |
|  402  | -0.29386123045759155 |  -0.326231236514442  |
|  403  | -0.2936930963749952  | -0.3261007209707138  |
|  404  | -0.29352551358302464 |  -0.32597050912095   |
|  405  | -0.2933584792903903  | -0.3258405998284675  |
|  406  | -0.2931919907253357  | -0.3257109919646302  |
|  407  | -0.2930260451354625  | -0.32558168440874796 |
|  408  | -0.29286063978755805 | -0.32545267604797834 |
|  409  | -0.2926957719674243  | -0.32532396577722816 |
|  410  | -0.29253143897970824 | -0.3251955524990598  |
|  411  | -0.2923676381477349  | -0.32506743512359537 |
|  412  | -0.2922043668133417  | -0.32493961256842396 |
|  413  | -0.2920416223367146  | -0.3248120837585121  |
|  414  | -0.29187940209622587 | -0.32468484762611205 |
|  415  |  -0.291717703488274  | -0.32455790311067473 |
|  416  | -0.29155652392712494 | -0.3244312491587625  |
|  417  | -0.29139586084475505 | -0.3243048847239639  |
|  418  | -0.29123571169069556 | -0.3241788087668087  |
|  419  | -0.2910760739318793  | -0.32405302025468574 |
|  420  | -0.29091694505248833 | -0.32392751816176163 |
|  421  | -0.29075832255380357 |   -0.3238023014689   |
|  422  | -0.2906002039540558  | -0.3236773691635826  |
|  423  | -0.29044258678827845 | -0.3235527202398318  |
|  424  | -0.29028546860816146 | -0.32342835369813355 |
|  425  | -0.29012884698190755 | -0.3233042685453635  |
|  426  | -0.2899727194940888  | -0.32318046379471055 |
|  427  | -0.2898170837455061  | -0.32305693846560674 |
|  428  | -0.28966193735304857 | -0.3229336915836528  |
|  429  | -0.2895072779495555  | -0.32281072218054874 |
|  430  | -0.2893531031836795  | -0.32268802929402407 |
|  431  | -0.2891994107197511  | -0.32256561196776956 |
|  432  | -0.28904619823764405 | -0.3224434692513697  |
|  433  | -0.28889346343264316 | -0.3223216002002346  |
|  434  | -0.28874120401531267 | -0.32220000387553793 |
|  435  | -0.28858941771136626 | -0.32207867934414935 |
|  436  | -0.2884381022615382  | -0.32195762567857295 |
|  437  | -0.2882872554214564  | -0.32183684195688395 |
|  438  | -0.28813687496151563 | -0.3217163272626682  |
|  439  | -0.2879869586667536  | -0.3215960806849598  |
|  440  | -0.28783750433672706 | -0.32147610131818427 |
|  441  | -0.2876885097853891  | -0.32135638826209656 |
|  442  |  -0.287539972840969  | -0.32123694062172653 |
|  443  | -0.28739189134585175 | -0.32111775750731963 |
|  444  | -0.2872442631564599  | -0.3209988380342817  |
|  445  | -0.28709708614313584 | -0.3208801813231237  |
